"OrderID","CustomerID","EmployeeID","OrderDate","RequiredDate","ShippedDate","ShipVia","Freight","ShipName","ShipAddress","ShipCity","ShipRegion","ShipPostalCode","ShipCountry"
10665,"LONEP",1,"1997-09-11","1997-10-09","1997-09-17",2,"26.31","Lonesome Pine Restaurant","89 Chiaroscuro Rd.","Portland","OR","97219","USA"
10674,"ISLAT",4,"1997-09-18","1997-10-16","1997-09-30",2,"0.9","Island Trading","Garden House Crowther Way","Cowes","Isle of Wight","PO31 7PJ","UK"
10678,"SAVEA",7,"1997-09-23","1997-10-21","1997-10-16",3,"388.98","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
10680,"OLDWO",1,"1997-09-24","1997-10-22","1997-09-26",1,"26.61","Old World Delicatessen","2743 Bering St.","Anchorage","AK","99508","USA"
10681,"GREAL",3,"1997-09-25","1997-10-23","1997-09-30",3,"76.13","Great Lakes Food Market","2732 Baker Blvd.","Eugene","OR","97403","USA"
10693,"WHITC",3,"1997-10-06","1997-10-20","1997-10-10",3,"139.34","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","USA"
10696,"WHITC",8,"1997-10-08","1997-11-19","1997-10-14",3,"102.55","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","USA"
10700,"SAVEA",3,"1997-10-10","1997-11-07","1997-10-16",1,"65.1","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
10706,"OLDWO",8,"1997-10-16","1997-11-13","1997-10-21",3,"135.63","Old World Delicatessen","2743 Bering St.","Anchorage","AK","99508","USA"
10707,"AROUT",4,"1997-10-16","1997-10-30","1997-10-23",3,"21.74","Around the Horn","Brook Farm Stratford St. Mary","Colchester","Essex","CO7 6JX","UK"
10708,"THEBI",6,"1997-10-17","1997-11-28","1997-11-05",2,"2.96","The Big Cheese","89 Jefferson Way Suite 2","Portland","OR","97201","USA"
10711,"SAVEA",5,"1997-10-21","1997-12-02","1997-10-29",2,"52.41","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
10713,"SAVEA",1,"1997-10-22","1997-11-19","1997-10-24",1,"167.05","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
10714,"SAVEA",5,"1997-10-22","1997-11-19","1997-10-27",3,"24.49","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
10719,"LETSS",8,"1997-10-27","1997-11-24","1997-11-05",2,"51.44","Let's Stop N Shop","87 Polk St. Suite 5","San Francisco","CA","94117","USA"
10722,"SAVEA",8,"1997-10-29","1997-12-10","1997-11-04",1,"74.58","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
10723,"WHITC",3,"1997-10-30","1997-11-27","1997-11-25",1,"21.72","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","USA"
10726,"EASTC",4,"1997-11-03","1997-11-17","1997-12-05",1,"16.56","Eastern Connection","35 King George","London",NULL,"WX3 6FW","UK"
10735,"LETSS",6,"1997-11-10","1997-12-08","1997-11-21",2,"45.97","Let's Stop N Shop","87 Polk St. Suite 5","San Francisco","CA","94117","USA"
10740,"WHITC",4,"1997-11-13","1997-12-11","1997-11-25",2,"81.88","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","USA"
10741,"AROUT",4,"1997-11-14","1997-11-28","1997-11-18",3,"10.96","Around the Horn","Brook Farm Stratford St. Mary","Colchester","Essex","CO7 6JX","UK"
10743,"AROUT",1,"1997-11-17","1997-12-15","1997-11-21",2,"23.72","Around the Horn","Brook Farm Stratford St. Mary","Colchester","Essex","CO7 6JX","UK"
10748,"SAVEA",3,"1997-11-20","1997-12-18","1997-11-28",1,"232.55","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
10749,"ISLAT",4,"1997-11-20","1997-12-18","1997-12-19",2,"61.53","Island Trading","Garden House Crowther Way","Cowes","Isle of Wight","PO31 7PJ","UK"
10752,"NORTS",2,"1997-11-24","1997-12-22","1997-11-28",3,"1.39","North/South","South House 300 Queensbridge","London",NULL,"SW7 1RZ","UK"
10756,"SPLIR",8,"1997-11-27","1997-12-25","1997-12-02",2,"73.21","Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","USA"
10757,"SAVEA",6,"1997-11-27","1997-12-25","1997-12-15",1,"8.19","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
10761,"RATTC",5,"1997-12-02","1997-12-30","1997-12-08",2,"18.66","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
10768,"AROUT",3,"1997-12-08","1998-01-05","1997-12-15",2,"146.32","Around the Horn","Brook Farm Stratford St. Mary","Colchester","Essex","CO7 6JX","UK"
10775,"THECR",7,"1997-12-12","1998-01-09","1997-12-26",1,"20.25","The Cracker Box","55 Grizzly Peak Rd.","Butte","MT","59801","USA"
10793,"AROUT",3,"1997-12-24","1998-01-21","1998-01-08",3,"4.52","Around the Horn","Brook Farm Stratford St. Mary","Colchester","Essex","CO7 6JX","UK"
10798,"ISLAT",2,"1997-12-26","1998-01-23","1998-01-05",1,"2.33","Island Trading","Garden House Crowther Way","Cowes","Isle of Wight","PO31 7PJ","UK"
10800,"SEVES",1,"1997-12-26","1998-01-23","1998-01-05",3,"137.44","Seven Seas Imports","90 Wadhurst Rd.","London",NULL,"OX15 4NB","UK"
10804,"SEVES",6,"1997-12-30","1998-01-27","1998-01-07",2,"27.33","Seven Seas Imports","90 Wadhurst Rd.","London",NULL,"OX15 4NB","UK"
10805,"THEBI",2,"1997-12-30","1998-01-27","1998-01-09",3,"237.34","The Big Cheese","89 Jefferson Way Suite 2","Portland","OR","97201","USA"
10808,"OLDWO",2,"1998-01-01","1998-01-29","1998-01-09",3,"45.53","Old World Delicatessen","2743 Bering St.","Anchorage","AK","99508","USA"
10815,"SAVEA",2,"1998-01-05","1998-02-02","1998-01-14",3,"14.62","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
10816,"GREAL",4,"1998-01-06","1998-02-03","1998-02-04",2,"719.78","Great Lakes Food Market","2732 Baker Blvd.","Eugene","OR","97403","USA"
10820,"RATTC",3,"1998-01-07","1998-02-04","1998-01-13",2,"37.52","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
10821,"SPLIR",1,"1998-01-08","1998-02-05","1998-01-15",1,"36.68","Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","USA"
10822,"TRAIH",6,"1998-01-08","1998-02-05","1998-01-16",3,"7","Trail's Head Gourmet Provisioners","722 DaVinci Blvd.","Kirkland","WA","98034","USA"
10829,"ISLAT",9,"1998-01-13","1998-02-10","1998-01-23",1,"154.72","Island Trading","Garden House Crowther Way","Cowes","Isle of Wight","PO31 7PJ","UK"
10847,"SAVEA",4,"1998-01-22","1998-02-05","1998-02-10",3,"487.57","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
10848,"CONSH",7,"1998-01-23","1998-02-20","1998-01-29",2,"38.24","Consolidated Holdings","Berkeley Gardens 12  Brewery","London",NULL,"WX1 6LT","UK"
10852,"RATTC",8,"1998-01-26","1998-02-09","1998-01-30",1,"174.05","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
10855,"OLDWO",3,"1998-01-27","1998-02-24","1998-02-04",1,"170.97","Old World Delicatessen","2743 Bering St.","Anchorage","AK","99508","USA"
10861,"WHITC",4,"1998-01-30","1998-02-27","1998-02-17",2,"14.93","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","USA"
10864,"AROUT",4,"1998-02-02","1998-03-02","1998-02-09",2,"3.04","Around the Horn","Brook Farm Stratford St. Mary","Colchester","Essex","CO7 6JX","UK"
10867,"LONEP",6,"1998-02-03","1998-03-17","1998-02-11",1,"1.93","Lonesome Pine Restaurant","89 Chiaroscuro Rd.","Portland","OR","97219","USA"
10869,"SEVES",5,"1998-02-04","1998-03-04","1998-02-09",1,"143.28","Seven Seas Imports","90 Wadhurst Rd.","London",NULL,"OX15 4NB","UK"
10882,"SAVEA",4,"1998-02-11","1998-03-11","1998-02-20",3,"23.1","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
10883,"LONEP",8,"1998-02-12","1998-03-12","1998-02-20",3,"0.53","Lonesome Pine Restaurant","89 Chiaroscuro Rd.","Portland","OR","97219","USA"
10884,"LETSS",4,"1998-02-12","1998-03-12","1998-02-13",2,"90.97","Let's Stop N Shop","87 Polk St. Suite 5","San Francisco","CA","94117","USA"
10889,"RATTC",9,"1998-02-16","1998-03-16","1998-02-23",3,"280.61","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
10894,"SAVEA",1,"1998-02-18","1998-03-18","1998-02-20",1,"116.13","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
10904,"WHITC",3,"1998-02-24","1998-03-24","1998-02-27",3,"162.95","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","USA"
10920,"AROUT",4,"1998-03-03","1998-03-31","1998-03-09",2,"29.61","Around the Horn","Brook Farm Stratford St. Mary","Colchester","Essex","CO7 6JX","UK"
10933,"ISLAT",6,"1998-03-06","1998-04-03","1998-03-16",3,"54.15","Island Trading","Garden House Crowther Way","Cowes","Isle of Wight","PO31 7PJ","UK"
10936,"GREAL",3,"1998-03-09","1998-04-06","1998-03-18",2,"33.68","Great Lakes Food Market","2732 Baker Blvd.","Eugene","OR","97403","USA"
10941,"SAVEA",7,"1998-03-11","1998-04-08","1998-03-20",2,"400.81","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
10943,"BSBEV",4,"1998-03-11","1998-04-08","1998-03-19",2,"2.17","B's Beverages","Fauntleroy Circus","London",NULL,"EC2 5NT","UK"
10947,"BSBEV",3,"1998-03-13","1998-04-10","1998-03-16",2,"3.26","B's Beverages","Fauntleroy Circus","London",NULL,"EC2 5NT","UK"
10953,"AROUT",9,"1998-03-16","1998-03-30","1998-03-25",2,"23.72","Around the Horn","Brook Farm Stratford St. Mary","Colchester","Essex","CO7 6JX","UK"
10965,"OLDWO",6,"1998-03-20","1998-04-17","1998-03-30",3,"144.38","Old World Delicatessen","2743 Bering St.","Anchorage","AK","99508","USA"
10974,"SPLIR",3,"1998-03-25","1998-04-08","1998-04-03",3,"12.96","Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","USA"
10983,"SAVEA",2,"1998-03-27","1998-04-24","1998-04-06",2,"657.54","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
10984,"SAVEA",1,"1998-03-30","1998-04-27","1998-04-03",3,"211.22","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
10987,"EASTC",8,"1998-03-31","1998-04-28","1998-04-06",1,"185.48","Eastern Connection","35 King George","London",NULL,"WX3 6FW","UK"
10988,"RATTC",3,"1998-03-31","1998-04-28","1998-04-10",2,"61.14","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
10992,"THEBI",1,"1998-04-01","1998-04-29","1998-04-03",3,"4.27","The Big Cheese","89 Jefferson Way Suite 2","Portland","OR","97201","USA"
11000,"RATTC",2,"1998-04-06","1998-05-04","1998-04-14",3,"55.12","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
11002,"SAVEA",4,"1998-04-06","1998-05-04","1998-04-16",1,"141.16","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
11003,"THECR",3,"1998-04-06","1998-05-04","1998-04-08",3,"14.91","The Cracker Box","55 Grizzly Peak Rd.","Butte","MT","59801","USA"
11006,"GREAL",3,"1998-04-07","1998-05-05","1998-04-15",2,"25.19","Great Lakes Food Market","2732 Baker Blvd.","Eugene","OR","97403","USA"
11016,"AROUT",9,"1998-04-10","1998-05-08","1998-04-13",2,"33.8","Around the Horn","Brook Farm Stratford St. Mary","Colchester","Essex","CO7 6JX","UK"
11018,"LONEP",4,"1998-04-13","1998-05-11","1998-04-16",2,"11.65","Lonesome Pine Restaurant","89 Chiaroscuro Rd.","Portland","OR","97219","USA"
11023,"BSBEV",1,"1998-04-14","1998-04-28","1998-04-24",2,"123.83","B's Beverages","Fauntleroy Circus","London",NULL,"EC2 5NT","UK"
11024,"EASTC",4,"1998-04-15","1998-05-13","1998-04-20",1,"74.36","Eastern Connection","35 King George","London",NULL,"WX3 6FW","UK"
11030,"SAVEA",7,"1998-04-17","1998-05-15","1998-04-27",2,"830.75","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
11031,"SAVEA",6,"1998-04-17","1998-05-15","1998-04-24",2,"227.22","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
11032,"WHITC",2,"1998-04-17","1998-05-15","1998-04-23",3,"606.19","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","USA"
11034,"OLDWO",8,"1998-04-20","1998-06-01","1998-04-27",1,"40.32","Old World Delicatessen","2743 Bering St.","Anchorage","AK","99508","USA"
11040,"GREAL",4,"1998-04-22","1998-05-20",NULL,3,"18.84","Great Lakes Food Market","2732 Baker Blvd.","Eugene","OR","97403","USA"
11047,"EASTC",7,"1998-04-24","1998-05-22","1998-05-01",3,"46.62","Eastern Connection","35 King George","London",NULL,"WX3 6FW","UK"
11056,"EASTC",8,"1998-04-28","1998-05-12","1998-05-01",2,"278.96","Eastern Connection","35 King George","London",NULL,"WX3 6FW","UK"
11057,"NORTS",3,"1998-04-29","1998-05-27","1998-05-01",3,"4.13","North/South","South House 300 Queensbridge","London",NULL,"SW7 1RZ","UK"
11061,"GREAL",4,"1998-04-30","1998-06-11",NULL,3,"14.01","Great Lakes Food Market","2732 Baker Blvd.","Eugene","OR","97403","USA"
11064,"SAVEA",1,"1998-05-01","1998-05-29","1998-05-04",1,"30.09","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
11066,"WHITC",7,"1998-05-01","1998-05-29","1998-05-04",2,"44.72","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","USA"
11077,"RATTC",1,"1998-05-06","1998-06-03",NULL,2,"8.53","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
